Word,Count
\$form->labelEx($model,'st_absence3');\,6
\$form->error($model,'professor_id');\,6
CHtml::encode($data->telephone);,6
5);,5
\$form->error($model,'code4');\,5
\$form->error($model,'title1');\,5
\$form->labelEx($model,'title5');\,5
\$form->labelEx($model,'title2');\,5
\$form->error($model,'title3');\,5
\$form->labelEx($model,'code2');\,5
'expression',5
\$form->labelEx($model,'code1');\,5
\str_repeat('&nbsp;',\,5
\$form->error($model,'title2');\,5
\$form->labelEx($model,'code4');\,5
\$form->error($model,'title4');\,5
\$form->labelEx($model,'title4');\,5
\array('CompanyController','allowOnlyOwner')\,5
\$form->labelEx($model,'code5');\,5
\$form->labelEx($model,'title3');\,5
\$form->labelEx($model,'code3');\,5
'date_request');,5
\$form->error($model,'code2');\,5
\$form->labelEx($model,'title1');\,5
\$form->error($model,'code1');\,5
\$form->error($model,'title5');\,5
\$form->error($model,'code3');\,5
\$form->error($model,'code5');\,5
\'linkOptions'=>array('submit'=>array('delete','id'=>$model->id),'confirm'=>'Are\,4
\'url'=>array('index')),\,4
array('label'=>'List,4
want,4
\item?')),\,4
array('label'=>'Delete,4
Yii::app()->user->id));,4
delete,4
\'url'=>'#',\,4
$student,3
respond,3
'maxlength',3
layouts/Companyadmin';,3
45));,3
\'file_cv',\,3
array(,3
'Thank,3
$this->refresh();,3
We,3
possible.');,3
soon,3
\45,\,3
contacting,3
'actions',3
Student::model()->findByAttributes(array('user_id',3
us,3
array('size',3
\Yii::app()->user->setFlash('contact',\,3
\$form->fileFieldGroup($model,\,3
layouts/StudentAdmin';,3
'st_absence3');,2
\$form->error($model,'file_grades');\,2
\$form->error($model,'file_cv');\,2
'st_absence2');,2
CHtml::encode($data->file_cv_name);,2
\$form->error($model,'enabled');\,2
layouts/ProfessorAdmin';,2
\$form->labelEx($model,'name');\,2
\'file_cv_name',\,2
'st_text1');,2
'st_text3');,2
\'url'=>array('update',\,2
var_dump($model);,2
\$form->labelEx($model,'file_cv');\,2
\),\,2
CHtml::encode($data->getAttributeLabel('status_data'));,2
'st_notes3');,2
));,2
//,2
\Search','#',array('class'=>'search-button'));\,2
\$form->labelEx($model,'enabled');\,2
CHtml::encode($data->file_ika);,2
CHtml::encode($data->status_data);,2
\$form->labelEx($model,'file_grades');\,2
'st_final_notes');,2
'st_text2');,2
var_dump($_POST);,2
\'id'=>$model->id)),\,2
CHtml::encode($data->enabled);,2
\$form->labelEx($model,'period');\,2
\'enabled',\,2
CHtml::encode($data->file_grades_name);,2
\'status_data',\,2
'st_notes2');,2
array('label'=>'Update,2
\array('allow',\,2
\'file_ika',\,2
\$form->labelEx($model,'f_ika');\,2
CHtml::encode($data->getAttributeLabel('enabled'));,2
\$form->error($model,'name');\,2
\$form->error($model,'f_ika');\,2
\$form->labelEx($model,'surname');\,2
'url',2
'users',2
\$form->error($model,'period');\,2
CHtml::encode($data->getAttributeLabel('file_grades_name'));,2
'id',2
\$form->error($model,'surname');\,2
'st_final_text');,2
CHtml::link('Advanced,2
//echo,2
'st_notes1');,2
array('label',2
CHtml::encode($data->getAttributeLabel('file_cv_name'));,2
1,2
CHtml::encode($data->getAttributeLabel('file_ika'));,2
\'file_grades_name',\,2
\'_view',\,1
IS,1
layouts/Professoradmin';,1
TODO,1
\αίτηση',\,1
$month=0;,1
var_dump($_FILES);,1
\'update'),\,1
$body='άνοιξε,1
οι,1
το,1
\$form->labelEx($model,'afm');\,1
\$student->id,\,1
\$form->error($model,'doy');\,1
\$form->textFieldGroup($model,\,1
NULL');,1
$model->order);,1
\array('@'),\,1
$data->internship_position_id));,1
\$this->beginWidget('CActiveForm',\,1
'uid',1
\$form->error($model,'afm');\,1
\array('admin',\,1
\$this->SendMail($model->student_id,$body);\,1
'itemView',1
'order',1
θέσεων,1
\CHtml::hiddenField('RequestInternship',\,1
array('label'=>'Δημιουργία,1
\'url'=>array('view',\,1
θέση,1
foreach,1
var_dump($student->attributes);,1
$criteria->addCondition('student_id,1
var_dump(Yii::app()->user->id);,1
var_dump($model->save());,1
μήνας';,1
$student->counter_requests=0;,1
$data->id));,1
\array('admin'),\,1
$in,1
echo($model->order);,1
1);,1
'iid',1
$criteria->addCondition('published=1');,1
CHtml::link('κάντε,1
'internship_position_id',1
\$form->error($model,'identity_number');\,1
$tr=$,1
\'professor_id',\,1
θέλουμε,1
AND,1
'size',1
γίνεται,1
νέας,1
array('label'=>'View,1
na,1
φοιτητής,1
\'date_start',\,1
κάθε,1
($model->title);,1
{,1
\array('create',\,1
categories.id,1
\$model->student_id,'rid'\,1
$st_name=$st->users->first_name;,1
\'10',));\,1
\$orderIRForm->order_ids,\,1
\'order',\,1
//var_dump($in);,1
\$dataProvider,\,1
πρώτος,1
\'grade',\,1
RequestInternship::model()->findByAttributes(array('student_id',1
'dataProvider',1
\array('RequestInternship/NewRequest',\,1
\'order_ids',\,1
\array('index',\,1
κάνει,1
var_dump($r);,1
},1
status,1
\$form=$this->beginWidget('booster.widgets.TbActiveForm',\,1
για,1
array('label'=>'Αναζήτηση,1
$i),1
$this->endWidget();,1
\$model->id,\,1
\array('create')),\,1
προτίμησης:',1
\'user_id',\,1
CHtml::encode($data->order);,1
$_FILES['Student'],1
var_dump($orderIRForm->attributes);,1
aferaithei!!,1
$hasRequest,1
$comp_name=$comp->company->brand;,1
\$form->labelEx($model,'tk');\,1
\$model->internship_position_id,\,1
var_dump($data->attributes);,1
CHtml::encode($data->getAttributeLabel('order'));,1
ο,1
\'users'=>array('*'),\,1
\μου',\,1
\"\.$categories_id,\,1
'Manage,1
$model=$this->loadModel($student->internshipposition->id);,1
'Σειρά,1
\ASC',\,1
$_FILES['StudentForm'];,1
\$form->labelEx($model,'identity_number');\,1
InternshipPosition::model()->findByAttributes(array('id',1
\$form->listBox($orderIRForm,\,1
$st=$model->student->getBothnamesurname();,1
\$this->widget('zii.widgets.CListView',\,1
'Create,1
\'view'),\,1
να,1
\'date_end',\,1
έχει,1
echo($st);,1
($r,1
\CHtml::link('ανάθεση',\,1
var_dump(CHtml::errorSummary($model));,1
\'on'=>"\categories.is_active\,1
($student->id);,1
\'order-ids',\,1
που,1
(empty($model)),1
\'multiple',\,1
\$form->labelEx($model,'doy');\,1
'sid',1
\θέσης',\,1
'categories.position,1
\array('admin')),\,1
\'id'=>$data->id)),\,1
layouts/Studentadmin';,1
\$form->error($model,'tk');\,1
$model->id));,1
array('multiple',1
\'delete'),\,1
var_dump($u->attributes);,1
\array('InternshipPosition/award',\,1
